rank,name,author,link,star,fork,language,issues,description,last_commit
62,SwiftGen,SwiftGen,https://github.com/SwiftGen/SwiftGen,9329,742,Swift,116,"The Swift code generator for your assets, storyboards, Localizable.strings, … — Get rid of all String-based APIs!",2024-07-19T15:53:13Z
63,openhaystack,seemoo-lab,https://github.com/seemoo-lab/openhaystack,9254,490,Swift,118,Build your own 'AirTags' 🏷 today! Framework for tracking personal Bluetooth devices via Apple's massive Find My network.,2024-07-09T07:19:10Z
64,DevToysMac,DevToys-app,https://github.com/DevToys-app/DevToysMac,9241,367,Swift,71,DevToys For mac,2024-05-03T04:09:41Z
65,ObjectMapper,tristanhimmelman,https://github.com/tristanhimmelman/ObjectMapper,9161,1031,Swift,57,Simple JSON Object mapping written in Swift,2024-05-02T13:32:48Z
66,PlayCover,PlayCover,https://github.com/PlayCover/PlayCover,8926,777,Swift,379,Community fork of PlayCover,2025-01-02T00:23:49Z
67,IBAnimatable,IBAnimatable,https://github.com/IBAnimatable/IBAnimatable,8671,779,Swift,45,"Design and prototype customized UI, interaction, navigation, transition and animation for App Store ready Apps in Interface Builder with IBAnimatable.",2023-02-21T11:14:59Z
68,WWDC,insidegui,https://github.com/insidegui/WWDC,8644,780,Swift,20,The unofficial WWDC app for macOS,2024-06-20T12:37:55Z
69,NetNewsWire,Ranchero-Software,https://github.com/Ranchero-Software/NetNewsWire,8532,542,Swift,786,RSS reader for macOS and iOS.,2025-01-07T05:32:31Z
70,ios-oss,kickstarter,https://github.com/kickstarter/ios-oss,8502,1220,Swift,4,"Kickstarter for iOS. Bring new ideas to life, anywhere.",2025-01-09T23:59:26Z
71,Starscream,daltoniam,https://github.com/daltoniam/Starscream,8396,1220,Swift,135,Websockets in swift for iOS and OSX,2024-05-16T21:37:05Z
72,gitignore.io,toptal,https://github.com/toptal/gitignore.io,8359,629,Swift,22,Create useful .gitignore files for your project,2024-12-23T15:12:40Z
73,Dozer,Mortennn,https://github.com/Mortennn/Dozer,8314,266,Swift,91,Hide menu bar icons on macOS,2023-11-30T13:45:27Z
74,Nuke,kean,https://github.com/kean/Nuke,8224,531,Swift,23,Image loading system,2025-01-02T02:40:31Z
