rank,name,author,link,star,fork,language,issues,description,last_commit
48,SAR-Synthetic-Aperture-Radar,denkywu,https://github.com/denkywu/SAR-Synthetic-Aperture-Radar,796,247,MATLAB,2,"合成孔径雷达 相关。研究生期间学习 SAR/InSAR/PolSAR 相关的代码和总结，毕业后已经离开这个领域了。分享出来，仅此纪念。1）SAR: 成像算法，RD，CS，Radarsat-1数据成像处理。2）InSAR: 人造场景原始回波仿真、成像及干涉处理。包括平地场景和圆锥形场景。3）PolSAR: 极化定标算法，Whitt, PARC, Quegan, Ainsworth。详见 readme.md",2023-11-19T03:15:56Z
49,NTURGB-D,shahroudy,https://github.com/shahroudy/NTURGB-D,771,174,MATLAB,23,"Info and sample codes for ""NTU RGB+D Action Recognition Dataset""",2022-02-18T07:49:02Z
50,Image-Harmonization-Dataset-iHarmony4,bcmi,https://github.com/bcmi/Image-Harmonization-Dataset-iHarmony4,769,98,MATLAB,0,"[CVPR 2020] The first large-scale public benchmark dataset for image harmonization. The code used in our paper ""DoveNet: Deep Image Harmonization via Domain Verification"", CVPR2020. Useful for image harmonization, image composition, etc.",2024-06-06T01:33:42Z
51,Total-Text-Dataset,cs-chan,https://github.com/cs-chan/Total-Text-Dataset,752,141,MATLAB,6,"Total Text Dataset. It consists of 1555 images with more than 3 different text orientations: Horizontal, Multi-Oriented, and Curved, one of a kind.",2023-10-05T05:13:30Z
52,hctsa,benfulcher,https://github.com/benfulcher/hctsa,748,319,MATLAB,11,Highly comparative time-series analysis,2025-01-10T23:03:55Z
53,Awesome-Speech-Enhancement,nanahou,https://github.com/nanahou/Awesome-Speech-Enhancement,734,150,MATLAB,4,A tutorial for Speech Enhancement researchers and practitioners. The purpose of this repo is to organize the world’s resources for speech enhancement and make them universally accessible and useful.,2020-12-01T10:20:50Z
54,IMUCalibration-Gesture,shenshikexmu,https://github.com/shenshikexmu/IMUCalibration-Gesture,727,265,MATLAB,0,calibration for Imu and show gesture,2024-12-12T02:43:34Z
55,face_verification_experiment,AlfredXiangWu,https://github.com/AlfredXiangWu/face_verification_experiment,724,324,MATLAB,2,Original Caffe Version for LightCNN-9. Highly recommend to use PyTorch Version (https://github.com/AlfredXiangWu/LightCNN),2017-02-10T09:19:33Z
56,Smart-Algorithm,LiYangSir,https://github.com/LiYangSir/Smart-Algorithm,712,148,MATLAB,2,"智能算法-遗传算法、蚁群算法、粒子群算法实现。实现版本Java,Python,MatLab多版本实现",2020-05-10T13:43:07Z
57,Mathematics,Ewenwan,https://github.com/Ewenwan/Mathematics,708,265,MATLAB,2,数学知识点滴积累  矩阵 数值优化 神经网络反向传播 图优化 概率论 随机过程 卡尔曼滤波 粒子滤波 数学函数拟合,2020-09-12T02:38:03Z
