rank,name,author,link,star,fork,language,issues,description,last_commit
39,JavaScript30,wesbos,https://github.com/wesbos/JavaScript30,27921,38474,HTML,0,30 Day Vanilla JS Challenge,2025-01-07T12:29:05Z
40,spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,57096,38294,Java,286,Spring Framework,2025-01-10T18:50:53Z
41,RepData_PeerAssessment1,rdpeng,https://github.com/rdpeng/RepData_PeerAssessment1,102,37047,None,7,Peer Assessment 1 for Reproducible Research,2024-08-17T20:06:41Z
42,bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,81305,36521,C++,374,Bitcoin Core integration/staging tree,2025-01-10T15:30:04Z
43,javascript-exercises,TheOdinProject,https://github.com/TheOdinProject/javascript-exercises,1344,35538,JavaScript,5,None,2024-10-30T16:18:23Z
44,three.js,mrdoob,https://github.com/mrdoob/three.js,103721,35493,JavaScript,418,JavaScript 3D Library.,2025-01-10T22:34:43Z
45,jekyll-now,barryclark,https://github.com/barryclark/jekyll-now,8294,35211,CSS,148,"Build a Jekyll blog in minutes, without touching the command line.",2024-08-19T16:05:35Z
46,public-apis,public-apis,https://github.com/public-apis/public-apis,323809,34344,Python,40,A collective list of free APIs,2024-10-31T19:50:02Z
47,generative-ai-for-beginners,microsoft,https://github.com/microsoft/generative-ai-for-beginners,66278,34281,Jupyter Notebook,2,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/",2024-12-12T20:34:43Z
48,vue,vuejs,https://github.com/vuejs/vue,208260,33703,TypeScript,354,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",2024-10-10T07:24:15Z
49,You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,180582,33565,None,81,A book series on JavaScript. @YDKJS on twitter.,2024-09-05T04:11:45Z
50,material-ui,mui,https://github.com/mui/material-ui,94441,32404,TypeScript,1692,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,2025-01-10T07:32:42Z
51,django,django,https://github.com/django/django,81805,32038,Python,0,The Web framework for perfectionists with deadlines.,2025-01-10T13:38:09Z
52,core,home-assistant,https://github.com/home-assistant/core,75661,31865,Python,2852,:house_with_garden: Open source home automation that puts local control and privacy first.,2025-01-11T09:31:47Z
