rank,name,author,link,star,fork,language,issues,description,last_commit
67,resume,hijiangtao,https://github.com/hijiangtao/resume,1944,555,TeX,0,个人中文简历 Latex 源码 https://hijiangtao.github.io/,2024-09-04T03:15:27Z
68,latex3,latex3,https://github.com/latex3/latex3,1940,192,TeX,126,The expl3 (LaTeX3) Development Repository,2025-01-08T13:17:34Z
69,moderncv,xdanaux,https://github.com/xdanaux/moderncv,1827,567,TeX,52,A modern curriculum vitae class for LaTeX,2024-06-13T14:36:53Z
70,minted,gpoore,https://github.com/gpoore/minted,1770,128,TeX,51,minted is a LaTeX package that provides syntax highlighting using the Pygments library. Highlighted source code can be customized using fancyvrb.,2024-11-25T13:10:34Z
71,hithesis,hithesis,https://github.com/hithesis/hithesis,1739,368,TeX,30,嗨！thesis！哈尔滨工业大学毕业论文LaTeX模板,2024-12-15T12:14:47Z
72,acm-cheat-sheet,soulmachine,https://github.com/soulmachine/acm-cheat-sheet,1718,543,TeX,12,Acm Cheat Sheet,2022-09-11T09:04:06Z
73,dlbook_notation,goodfeli,https://github.com/goodfeli/dlbook_notation,1708,356,TeX,3,LaTeX files for the Deep Learning book notation,2023-05-08T16:32:31Z
74,Introduction-to-Autonomous-Robots,Introduction-to-Autonomous-Robots,https://github.com/Introduction-to-Autonomous-Robots/Introduction-to-Autonomous-Robots,1703,331,TeX,7,Introduction to Autonomous Robots,2024-08-09T19:15:10Z
75,tufte-latex,Tufte-LaTeX,https://github.com/Tufte-LaTeX/tufte-latex,1702,302,TeX,93,"A Tufte-inspired LaTeX class for producing handouts, papers, and books",2024-07-14T22:12:26Z
76,ustcthesis,ustctug,https://github.com/ustctug/ustcthesis,1686,405,TeX,6,LaTeX template for USTC thesis,2025-01-08T13:44:42Z
77,yellowpaper,ethereum,https://github.com/ethereum/yellowpaper,1660,514,TeX,85,"The ""Yellow Paper"": Ethereum's formal specification",2025-01-08T10:11:31Z
78,pandoc_resume,mszep,https://github.com/mszep/pandoc_resume,1660,757,TeX,26,The Markdown Resume,2024-02-28T17:35:05Z
79,ThinkBayes,AllenDowney,https://github.com/AllenDowney/ThinkBayes,1655,1935,TeX,9,Code repository for Think Bayes.,2021-03-12T01:26:06Z
80,LaTeX-Template-Cn,DeathKing,https://github.com/DeathKing/LaTeX-Template-Cn,1637,869,TeX,1,\LaTeX 中文模版收集。,2018-03-11T13:49:31Z
81,Cpp17,MeouSker77,https://github.com/MeouSker77/Cpp17,1634,258,TeX,1,本书为《C++17 the complete guide》的个人中文翻译，仅供学习和交流使用，侵删,2024-09-22T05:39:11Z
82,LaTeX-examples,MartinThoma,https://github.com/MartinThoma/LaTeX-examples,1615,416,TeX,2,Examples for the usage of LaTeX,2024-10-19T09:23:33Z
83,resume,jakegut,https://github.com/jakegut/resume,1600,325,TeX,0,LaTeX template for my personal resume,2024-08-10T10:34:04Z
84,cs224n-winter17-notes,stanfordnlp,https://github.com/stanfordnlp/cs224n-winter17-notes,1588,435,TeX,2,Course notes for CS224N Winter17,2017-07-09T00:27:35Z
85,Note-by-LaTeX,wklchris,https://github.com/wklchris/Note-by-LaTeX,1585,210,TeX,0,《简单粗暴 LaTeX》出版图书开源仓库 \,The opensource repo for my published LaTeX book.
86,Deep-Learning-for-Medical-Applications,albarqouni,https://github.com/albarqouni/Deep-Learning-for-Medical-Applications,1576,500,TeX,1,Deep Learning Papers on Medical Image Analysis,2022-04-01T08:51:47Z
87,DAO,blockchainsllc,https://github.com/blockchainsllc/DAO,1565,497,TeX,15,"The Standard DAO Framework, including Whitepaper",2023-03-27T14:22:01Z
88,slambook-en,gaoxiang12,https://github.com/gaoxiang12/slambook-en,1548,269,TeX,21,The English version of 14 lectures on visual SLAM.,2023-05-08T19:39:06Z
89,KRLPapers,thunlp,https://github.com/thunlp/KRLPapers,1539,247,TeX,0,Must-read papers on knowledge representation learning (KRL) / knowledge embedding (KE),2021-08-29T07:30:25Z
90,state-of-open-source-ai,premAI-io,https://github.com/premAI-io/state-of-open-source-ai,1535,90,TeX,23,:closed_book: Clarity in the current fast-paced mess of Open Source innovation,2024-12-23T20:30:38Z
91,redisbook,huangzworks,https://github.com/huangzworks/redisbook,1520,423,TeX,7,《Redis 设计与实现》（网络版）的书稿源码,2024-05-01T01:25:02Z
92,Awesome-Interaction-Aware-Trajectory-Prediction,jiachenli94,https://github.com/jiachenli94/Awesome-Interaction-Aware-Trajectory-Prediction,1510,300,TeX,0,A selection of state-of-the-art research materials on trajectory prediction,2024-09-28T20:21:45Z
93,the-little-mongodb-book,karlseguin,https://github.com/karlseguin/the-little-mongodb-book,1496,359,TeX,3,The Little MongoDB Book,2019-11-18T00:49:20Z
94,rticles,rstudio,https://github.com/rstudio/rticles,1484,524,TeX,43,LaTeX Journal Article Templates for R Markdown,2025-01-08T15:41:05Z
95,beamer,josephwright,https://github.com/josephwright/beamer,1463,144,TeX,124,A LaTeX class for producing presentations and slides,2024-12-20T00:16:34Z
96,DND-5e-LaTeX-Template,rpgtex,https://github.com/rpgtex/DND-5e-LaTeX-Template,1457,313,TeX,18,"LaTeX package to typeset material for the fifth edition of the ""world's greatest roleplaying game"".",2024-12-17T21:51:49Z
97,the-little-redis-book,karlseguin,https://github.com/karlseguin/the-little-redis-book,1448,499,TeX,2,None,2020-10-29T05:48:02Z
98,usingcli-book,xuxiaodong,https://github.com/xuxiaodong/usingcli-book,1442,84,TeX,0,像黑客一样使用命令行,2022-11-18T00:23:44Z
99,awk,wuzhouhui,https://github.com/wuzhouhui/awk,1421,277,TeX,1,"The AWK Programming Language (AWK 程序设计语言, awkbook) 中文翻译, LaTeX 排版",2022-07-31T11:37:58Z
100,sofp,winitzki,https://github.com/winitzki/sofp,1417,98,TeX,6,"A free book: ""The Science of Functional Programming""",2025-01-11T09:02:04Z
